frame_index,face_id,similarity_score,match,bbox_x1,bbox_y1,bbox_x2,bbox_y2
56,1,0.8599305748939514,True,203,55,354,264
58,2,0.8565844297409058,True,193,52,341,266
60,3,0.8733656406402588,True,190,56,338,260
62,4,0.8768372535705566,True,184,54,330,259
64,5,0.8682044744491577,True,171,55,325,265
66,6,0.8598069548606873,True,170,54,319,265
68,7,0.861788809299469,True,166,60,317,261
70,8,0.8758785128593445,True,163,57,315,259
72,9,0.8916429281234741,True,161,49,317,260
74,10,0.8617099523544312,True,163,54,312,261
76,11,0.7567816972732544,True,302,75,441,254
78,12,0.7989306449890137,True,299,66,436,251
80,13,0.8035634160041809,True,297,61,434,245
82,14,0.8392900228500366,True,301,60,433,236
84,15,0.8306017518043518,True,306,64,435,238
86,16,0.8688375353813171,True,313,66,439,232
88,17,0.8039499521255493,True,316,54,444,225
96,18,0.6555792093276978,True,306,63,421,222
98,19,0.7771366834640503,True,309,68,424,225
100,20,0.7437214851379395,True,320,68,438,226
118,21,0.8016600608825684,True,373,74,489,230
120,22,0.781649112701416,True,381,75,497,225
122,23,0.776966392993927,True,391,73,507,229
124,24,0.7971972227096558,True,398,74,513,227
126,25,0.8062402009963989,True,402,71,519,227
128,26,0.795557975769043,True,410,75,523,226
130,27,0.7954325675964355,True,411,75,524,226
442,28,0.610371470451355,True,179,99,222,149
452,29,0.6535618305206299,True,146,112,192,167
468,30,0.720673680305481,True,165,105,216,169
470,31,0.7618961930274963,True,172,96,217,154
476,32,0.6016799211502075,True,161,100,211,170
504,33,0.8110608458518982,True,265,98,384,260
506,34,0.7969510555267334,True,265,100,383,257
508,35,0.854385495185852,True,267,95,385,253
510,36,0.8251073956489563,True,259,86,384,257
512,37,0.8369764685630798,True,257,86,380,255
514,38,0.8482838869094849,True,259,91,377,249
516,39,0.8514320850372314,True,256,87,377,252
518,40,0.8530115485191345,True,254,82,376,251
520,41,0.8513572812080383,True,254,86,372,244
522,42,0.8624585866928101,True,253,77,374,243
524,43,0.8355456590652466,True,251,77,373,246
526,44,0.8619424700737,True,252,76,376,244
528,45,0.8681139945983887,True,254,79,373,242
530,46,0.8211493492126465,True,250,77,372,246
532,47,0.8442006707191467,True,253,80,375,246
534,48,0.8568387031555176,True,253,79,376,246
536,49,0.859033465385437,True,252,76,375,245
538,50,0.8465883731842041,True,252,76,375,245
564,51,0.7250127196311951,True,184,103,223,152
566,52,0.7060359120368958,True,183,103,222,153
568,53,0.7190679311752319,True,183,102,222,153
570,54,0.6672548651695251,True,182,103,222,153
574,55,0.6803495287895203,True,182,102,220,151
576,56,0.7029625177383423,True,181,101,220,151
578,57,0.7064001560211182,True,179,100,220,152
580,58,0.7268500328063965,True,178,100,219,151
582,59,0.7306628227233887,True,179,100,219,153
584,60,0.7066885828971863,True,179,99,219,154
586,61,0.7242093086242676,True,179,99,219,154
588,62,0.737238883972168,True,178,100,217,151
590,63,0.6812880039215088,True,179,101,218,152
592,64,0.631035327911377,True,179,102,218,152
594,65,0.7010605335235596,True,180,102,219,154
596,66,0.673437237739563,True,180,100,220,153
598,67,0.6929552555084229,True,181,99,220,151
600,68,0.733197808265686,True,182,98,221,151
624,69,0.6156368851661682,True,89,70,178,197
626,70,0.6466155648231506,True,58,81,150,212
628,71,0.7246377468109131,True,51,85,141,214
630,72,0.7724677920341492,True,62,76,150,203
632,73,0.6647565960884094,True,71,73,158,197
634,74,0.6697664856910706,True,81,80,161,196
636,75,0.720700740814209,True,82,77,166,200
690,76,0.6242364645004272,True,163,48,230,143
694,77,0.6078252792358398,True,158,46,227,144
698,78,0.6073465347290039,True,160,51,230,146
700,79,0.6031490564346313,True,164,51,233,147
918,80,0.7557749152183533,True,484,90,587,233
920,81,0.7538055777549744,True,487,93,589,235
922,82,0.706679105758667,True,490,99,590,235
924,83,0.732412576675415,True,490,97,591,235
926,84,0.7288029193878174,True,493,91,595,228
928,85,0.6455933451652527,True,503,89,596,223
968,86,0.6542396545410156,True,443,71,580,241
980,87,0.6869062781333923,True,472,-4,626,204
1306,88,0.7685011625289917,True,528,188,579,258
1308,89,0.7692685723304749,True,528,187,581,259
1310,90,0.7370681762695312,True,528,186,582,260
1312,91,0.8085261583328247,True,528,188,583,260
1314,92,0.7907925844192505,True,528,188,582,260
1316,93,0.7811423540115356,True,526,187,580,259
1318,94,0.8381179571151733,True,525,189,580,261
1320,95,0.8472935557365417,True,523,191,576,261
1322,96,0.7370129823684692,True,519,190,571,261
1326,97,0.7576045989990234,True,508,183,559,256
1328,98,0.6064754128456116,True,502,182,550,251
1330,99,0.6538268327713013,True,497,181,544,247
1332,100,0.7237843871116638,True,494,180,542,249
1334,101,0.6985464692115784,True,493,182,540,248
1336,102,0.7037585973739624,True,493,181,540,250
1338,103,0.624900221824646,True,491,184,540,249
1400,104,0.7626487016677856,True,512,192,563,262
1402,105,0.7764816880226135,True,512,192,563,262
1404,106,0.8037682771682739,True,512,193,565,266
1406,107,0.7753863334655762,True,511,193,563,262
1408,108,0.8182839751243591,True,514,192,565,262
1410,109,0.7932319045066833,True,513,193,566,263
1412,110,0.8217369318008423,True,513,193,566,263
1414,111,0.793245255947113,True,513,194,567,263
